Frequency [Hz]	Magnitude [V]	Phase [rad]	X [V]	Y [V]
1.00000000E+0	4.91206197E+0	-2.91357596E+0	-4.78492124E+0	-1.11035196E+0
1.09854114E+0	5.14985246E+0	-2.80613879E+0	-4.86280480E+0	-1.69531996E+0
1.20679264E+0	5.29253279E+0	-3.02144690E+0	-5.25437986E+0	-6.34346609E-1
1.32571137E+0	5.32228590E+0	-2.97467604E+0	-5.24831536E+0	-8.84258457E-1
1.45634848E+0	4.67147170E+0	-3.00788012E+0	-4.62977316E+0	-6.22774666E-1
1.59985872E+0	4.67030380E+0	-3.08788350E+0	-4.66356927E+0	-2.50717478E-1
1.75751062E+0	4.83325553E+0	-3.11229116E+0	-4.83118081E+0	-1.41601365E-1
1.93069773E+0	5.01669198E+0	-3.13207470E+0	-5.01646475E+0	-4.77479375E-2
2.12095089E+0	4.54987937E+0	-3.07157953E+0	-4.53873254E+0	-3.18291067E-1
2.32995181E+0	5.05513018E+0	3.07318459E+0	-5.04330664E+0	3.45542027E-1
2.55954792E+0	5.02055649E+0	3.08824932E+0	-5.01341516E+0	2.67686231E-1
2.81176870E+0	4.44667631E+0	3.01687880E+0	-4.41214032E+0	5.53125667E-1
3.08884360E+0	4.89063788E+0	2.99030066E+0	-4.83477300E+0	7.37094913E-1
3.39322177E+0	4.69205440E+0	2.94128469E+0	-4.59823841E+0	9.33583463E-1
3.72759372E+0	4.72985114E+0	2.94427501E+0	-4.63807289E+0	9.27238732E-1
4.09491506E+0	4.79884969E+0	2.88573229E+0	-4.64262753E+0	1.21448259E+0
4.49843267E+0	4.86936783E+0	2.95681666E+0	-4.78647867E+0	8.94631176E-1
4.94171336E+0	4.76042827E+0	2.86666823E+0	-4.58165380E+0	1.29233345E+0
5.42867544E+0	4.57255192E+0	2.84807208E+0	-4.37698947E+0	1.32294907E+0
5.96362332E+0	4.72046062E+0	2.85612356E+0	-4.52942197E+0	1.32931754E+0
6.55128557E+0	4.89726368E+0	2.81889838E+0	-4.64448870E+0	1.55303453E+0
7.19685673E+0	4.41541172E+0	2.76368187E+0	-4.10384942E+0	1.62919631E+0
7.90604321E+0	4.28923746E+0	2.67958097E+0	-3.83954352E+0	1.91192664E+0
8.68511374E+0	3.93124181E+0	2.75428284E+0	-3.64004879E+0	1.48482557E+0
9.54095476E+0	4.03228887E+0	2.63686267E+0	-3.52948292E+0	1.94989843E+0
1.04811313E+1	3.46681934E+0	2.63725971E+0	-3.03518995E+0	1.67524873E+0
1.15139540E+1	4.05883401E+0	2.59595496E+0	-3.46947720E+0	2.10638587E+0
1.26485522E+1	3.83768972E+0	2.47309837E+0	-3.01164929E+0	2.37861955E+0
1.38949549E+1	3.84777547E+0	2.52761912E+0	-3.14503793E+0	2.21677975E+0
1.52641797E+1	4.27007357E+0	2.36277175E+0	-3.03919188E+0	2.99947345E+0
1.67683294E+1	3.89603104E+0	2.45024261E+0	-3.00144762E+0	2.48402295E+0
1.84206997E+1	3.80293562E+0	2.31941104E+0	-2.58837117E+0	2.78615398E+0
2.02358965E+1	3.58397217E+0	2.26699850E+0	-2.29843113E+0	2.74992198E+0
2.22299648E+1	3.78270927E+0	2.24851046E+0	-2.37181149E+0	2.94676088E+0
2.44205309E+1	3.90185287E+0	2.02886901E+0	-1.72547859E+0	3.49959704E+0
2.68269580E+1	2.93268846E+0	2.02081470E+0	-1.27566691E+0	2.64070739E+0
2.94705170E+1	3.28755407E+0	1.84412213E+0	-8.87426797E-1	3.16551503E+0
3.23745754E+1	3.02491584E+0	1.84350338E+0	-8.14729112E-1	2.91313102E+0
3.55648031E+1	3.00364562E+0	1.80237617E+0	-6.89383149E-1	2.92346334E+0
3.90693994E+1	2.46426343E+0	1.39896571E+0	4.21355262E-1	2.42797322E+0
4.29193426E+1	2.12117400E+0	1.28204443E+0	6.04017064E-1	2.03335746E+0
4.71486636E+1	1.80557962E+0	1.06124722E+0	8.80732271E-1	1.57620697E+0
5.17947468E+1	1.31371316E+0	7.58881162E-1	9.53238611E-1	9.03979217E-1
5.68986603E+1	5.50774873E-1	3.00434908E-1	5.26104496E-1	1.62993927E-1
6.25055193E+1	2.95718043E-1	2.90323155E+0	-2.87356982E-1	6.98221018E-2
6.86648845E+1	9.42777962E-1	2.41024219E+0	-7.01684316E-1	6.29658166E-1
7.54312006E+1	1.15450907E+0	2.06593832E+0	-5.48572600E-1	1.01585397E+0
8.28642773E+1	1.08616845E+0	1.67753588E+0	-1.15717110E-1	1.07998678E+0
9.10298178E+1	1.04679892E+0	1.26074010E+0	3.19391104E-1	9.96883797E-1
1.00000000E+2	7.42190986E-1	9.86826286E-1	4.09199875E-1	6.19195382E-1
