Frequency [Hz]	Magnitude [V]	Phase [rad]	X [V]	Y [V]
1.00000000E+0	4.94104653E+0	-2.89447647E+0	-4.79094673E+0	-1.20862329E+0
1.09854114E+0	4.94146025E+0	-2.93294060E+0	-4.83428501E+0	-1.02358089E+0
1.20679264E+0	4.97500378E+0	-2.96802908E+0	-4.90025741E+0	-8.59150669E-1
1.32571137E+0	4.96194870E+0	-2.99082801E+0	-4.90566294E+0	-7.45255648E-1
1.45634848E+0	4.99720588E+0	-3.03012622E+0	-4.96619346E+0	-5.55867954E-1
1.59985872E+0	4.98764700E+0	-3.05789099E+0	-4.97018555E+0	-4.16987030E-1
1.75751062E+0	4.98696287E+0	-3.07928002E+0	-4.97728416E+0	-3.10549717E-1
1.93069773E+0	4.97314367E+0	-3.11779366E+0	-4.97173536E+0	-1.18344625E-1
2.12095089E+0	4.94850374E+0	-3.14118545E+0	-4.94850333E+0	-2.01506117E-3
2.32995181E+0	4.93602490E+0	3.11174599E+0	-4.93382650E+0	1.47302027E-1
2.55954792E+0	4.98763089E+0	3.07483423E+0	-4.97652086E+0	3.32719085E-1
2.81176870E+0	4.94012977E+0	3.05401065E+0	-4.92119498E+0	4.32113557E-1
3.08884360E+0	4.95351368E+0	3.02299901E+0	-4.91872026E+0	5.86079171E-1
3.39322177E+0	4.88520137E+0	2.99022778E+0	-4.82934493E+0	7.36627476E-1
3.72759372E+0	4.85181724E+0	2.96694890E+0	-4.77801382E+0	8.43038788E-1
4.09491506E+0	4.84806581E+0	2.93234061E+0	-4.74231282E+0	1.00708056E+0
4.49843267E+0	4.83646654E+0	2.90984220E+0	-4.70716766E+0	1.11084705E+0
4.94171336E+0	4.78514815E+0	2.86585723E+0	-4.60439030E+0	1.30277887E+0
5.42867544E+0	4.78054567E+0	2.84211287E+0	-4.56776403E+0	1.41037182E+0
5.96362332E+0	4.70773322E+0	2.80643292E+0	-4.44578449E+0	1.54846772E+0
6.55128557E+0	4.70965202E+0	2.76733463E+0	-4.38364581E+0	1.72176409E+0
7.19685673E+0	4.74224824E+0	2.73319990E+0	-4.35224718E+0	1.88331168E+0
7.90604321E+0	4.67269250E+0	2.68323430E+0	-4.19037764E+0	2.06755664E+0
8.68511374E+0	4.66656653E+0	2.64722709E+0	-4.10783810E+0	2.21416108E+0
9.54095476E+0	4.64298500E+0	2.58901169E+0	-3.95198183E+0	2.43703698E+0
1.04811313E+1	4.71576643E+0	2.54556571E+0	-3.90263838E+0	2.64723756E+0
1.15139540E+1	4.76835233E+0	2.48997192E+0	-3.79132604E+0	2.89189053E+0
1.26485522E+1	4.79799804E+0	2.43852967E+0	-3.66022657E+0	3.10218095E+0
1.38949549E+1	4.86930306E+0	2.36585191E+0	-3.47620775E+0	3.40970555E+0
1.52641797E+1	4.98921015E+0	2.28075220E+0	-3.25196869E+0	3.78377029E+0
1.67683294E+1	5.12830555E+0	2.18571576E+0	-2.95848209E+0	4.18890218E+0
1.84206997E+1	5.36775209E+0	2.06703042E+0	-2.55567938E+0	4.72030353E+0
2.02358965E+1	5.62200089E+0	1.92646535E+0	-1.95767964E+0	5.27014084E+0
2.22299648E+1	6.02842982E+0	1.75743970E+0	-1.11864519E+0	5.92373185E+0
2.44205309E+1	6.51136466E+0	1.51106015E+0	3.88732709E-1	6.49975050E+0
2.68269580E+1	6.89630556E+0	1.14765473E+0	2.83180921E+0	6.28807498E+0
2.94705170E+1	6.56989469E+0	6.82455797E-1	5.09841033E+0	4.14363709E+0
3.23745754E+1	4.78250793E+0	2.01287857E-1	4.68594865E+0	9.56173273E-1
3.55648031E+1	2.90089938E+0	-9.12996750E-2	2.88881736E+0	-2.64483374E-1
3.90693994E+1	1.93293487E+0	-5.01668779E-2	1.93050306E+0	-9.69286387E-2
4.29193426E+1	1.80991934E+0	-4.33658877E-2	1.80821774E+0	-7.84641602E-2
4.71486636E+1	1.80085944E+0	-3.28568133E-1	1.70452311E+0	-5.81115892E-1
5.17947468E+1	1.43194634E+0	-9.01744480E-1	8.88154013E-1	-1.12323318E+0
5.68986603E+1	5.97650360E-1	-1.62994851E+0	-3.53317134E-2	-5.96605081E-1
6.25055193E+1	2.65194479E-1	7.55574057E-1	1.93029235E-1	1.81845611E-1
6.86648845E+1	7.10273781E-1	1.71893687E-3	7.10272732E-1	1.22091519E-3
7.54312006E+1	7.69210377E-1	-6.29021294E-1	6.21986373E-1	-4.52567737E-1
8.28642773E+1	6.37265044E-1	-1.24211798E+0	2.05704315E-1	-6.03152113E-1
9.10298178E+1	4.27408591E-1	-1.91695195E+0	-1.45012887E-1	-4.02056422E-1
1.00000000E+2	1.44091381E-1	-2.19759026E+0	-8.45169644E-2	-1.16701366E-1
